A1             pred_score
라미스콘 샤로수점     0.009895
A53           pred_score
storeID             
텐동요츠야       0.015305
가네샤         0.011828
고명집         0.011150
발루토         0.010010
모힝_x        0.009884
다케돈까스       0.009873
모힝_y        0.009558
동학주점        0.009481
에그썸         0.009456
나인온스버거_x    0.009278
A54            pred_score
storeID              
아나타노로바다야끼    0.009635
연소바          0.007394
소담멸치국수       0.007394
양지순천집        0.007394
집밥수연식당       0.007394
BBQ 쌍문점      0.007394
윤서양갈비참숯구이    0.007394
화정왕족발 민락점    0.007394
궁중식당         0.007394
달콤한순영씨네      0.007394
A55          pred_score
storeID            
동경산책       0.015446
차이나당       0.011327
오지편한식당     0.011044
온돌         0.010624
텐동요츠야      0.009263
연소바        0.008386
양지순천집      0.008386
소담멸치국수     0.008386
신쓰촨마라탕     0.008386
우된장 신림점    0.008386
A56                  pred_score
storeID                    
텐동요츠야              0.008547
초와밥                0.007989
빽다방 관악구청점          0.007972
탐나종합어시장 서울대입구역점    0.007727
쟝블랑제리              0.007670
빠사삭                0.007553
BBQ 신림신원점          0.007523
보승회관               0.007517
이성당 본관             0.007434
신기루황소곱창구이          0.007420
A57           pred_score
storeID             
유가네 닭갈비     0.011432
모힝          0.011432
노랑통닭        0.011432
대작          0.011432
완산정         0.009149
두만강샤브샤브     0.009090
충칭마라훠궈      0.008873
정박사 정육식당    0.008873
도스타코스       0.008873
함바그동 스미비    0.008873
